OBJECTID;Id. Falla;Nom / Nombre;Secció / Seccion;Fallera Major / Fallera Mayor;President / Presidente;Artiste / Artista;Lema;Any Fundació / Año Fundacion;Distintiu / Distintivo;Esbós / Boceto;Falla Experimental;geo_shape;geo_point_2d
2745;1;Mercat Central, pl.;7;NO HAY;NO HAY;Joaquin Rubio Yañez;La Mercat-Band;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_001_bi.jpg;;"{""coordinates"": [-0.37793389105950476, 39.47341952997044], ""type"": ""Point""}";39.47341952997044, -0.37793389105950476
2749;64;Doctor Peset Aleixandre-En Guillem Ferrer;12;Leyre Martínez Duval;NO HAY;SERGIO CESAR CARRERO MELIAN;HALLOWEEN;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_064_bi.jpg;;"{""coordinates"": [-0.38681386922321676, 39.48887153410638], ""type"": ""Point""}";39.48887153410638, -0.38681386922321676
2754;28;Cuba-Literat Azorín;2;NO HAY;NO HAY;GONZALO ROJAS RODRIGUEZ;Ciudad inventada;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_028_bi.jpg;;"{""coordinates"": [-0.3754167500786528, 39.459889922950076], ""type"": ""Point""}";39.459889922950076, -0.3754167500786528
2758;300;Santa Maria Micaela-Martí l'Humà;3;África Pardo Puche;NO HAY;MOU;SUBTERRÀNIA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_300_bi.jpg;;"{""coordinates"": [-0.39185669412304536, 39.47186357060939], ""type"": ""Point""}";39.47186357060939, -0.39185669412304536
2760;31;Lo Rat Penat;3;Noah Molina Zamora;Juan Pérez Ferrer;ALEJANDRO RUBIO Y MANUEL RUBIO ARMIÑANA;Waka-Waka;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_031_bi.jpg;;"{""coordinates"": [-0.35379249187183465, 39.46587793655992], ""type"": ""Point""}";39.46587793655992, -0.35379249187183465
2764;77;Barri de Sant Josep;7;Candela Casanova Gasó;NO HAY;XAUME TORRENT ARENAS;SOLARIUM;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_077_bi.jpg;;"{""coordinates"": [-0.35030702822075177, 39.477569404242786], ""type"": ""Point""}";39.477569404242786, -0.35030702822075177
2765;104;Rojas Clemente, pl.;20;NO HAY;NO HAY;Jesus Liñana Ferrando (Fallas Hawa);Enlaira't;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_104_bi.jpg;;"{""coordinates"": [-0.3850593522354475, 39.47277603671919], ""type"": ""Point""}";39.47277603671919, -0.3850593522354475
2769;22;Exposició-Misser Mascó;IE;Isabel Álvarez Caballero E Inés Álvarez Caballero;Sergio Sellas Crespo;Xavier Gurrea Belenguer;Llar;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_022_bi.jpg;;"{""coordinates"": [-0.3622067127133479, 39.47535945794631], ""type"": ""Point""}";39.47535945794631, -0.3622067127133479
2770;373;Antiga Senda de Senent-Albereda;21;María Llaneras Carrascosa;Carmen Aroa González Faus;LA COMISSIÓ;AMOR MEDIEVAL;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_373_bi.jpg;;"{""coordinates"": [-0.3585641762305875, 39.46526789797134], ""type"": ""Point""}";39.46526789797134, -0.3585641762305875
2771;43;Marqués de Montortal-Berní i Català;5;Lucía Tornero Andreu;Álvaro García Ramiro;ISAAC ARGUDO;PER TERRA, MAR I AIRE;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_043_bi.jpg;;"{""coordinates"": [-0.3751169965495363, 39.4945378323916], ""type"": ""Point""}";39.4945378323916, -0.3751169965495363
2774;324;Poeta García Lorca-Oltà;12;Nerea Lis Chirivella;NO HAY;Sergio Sánchez García;En Cartellera: Un Clàssic;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_324_bi.jpg;;"{""coordinates"": [-0.3807360860552882, 39.45291045423186], ""type"": ""Point""}";39.45291045423186, -0.3807360860552882
2775;340;Francesc Climent-L'Uruguai;9;Paola García Mira;Hugo Muñoz Oliver;Xavier bonilla silvestre;La Bona Alimentació;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_340_bi.jpg;;"{""coordinates"": [-0.3867234904869998, 39.45522336672396], ""type"": ""Point""}";39.45522336672396, -0.3867234904869998
2776;5;Doctor Olóriz-Arquebisbe Fabián i Fuero;14;Adela Isabel Berenguer Fabregat;Pablo Egea Rausell;AGUSTIN TORRALBA SOTO;I love Teatro;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_005_bi.jpg;;"{""coordinates"": [-0.38066010844290293, 39.48420325688238], ""type"": ""Point""}";39.48420325688238, -0.38066010844290293
2777;152;Sant Vicent Màrtir-Pianista Empar Iturbi;7;Adriana Antón Lozano;Marc Antón Lozano;Ángela Grau González;Complementaris;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_152_bi.jpg;;"{""coordinates"": [-0.3836704573400383, 39.45503765106164], ""type"": ""Point""}";39.45503765106164, -0.3836704573400383
2780;358;Andreu Piles Ivars-Salvador Tuset;2;Valentina Dobón García;David Y Javier Luján Solaz;GREGO ACEBEDO;(IM)PERFECTES;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_358_bi.jpg;;"{""coordinates"": [-0.395088045675723, 39.49636455315829], ""type"": ""Point""}";39.49636455315829, -0.395088045675723
2787;298;Pere Cabanes-Comte de Lumiares;19;NO HAY;NO HAY;TONI FORNES (DISEÑO LUNA FORNES);A SABER QUE PASSA PEL CAP;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_298_bi.jpg;;"{""coordinates"": [-0.3726750782013321, 39.495324747306846], ""type"": ""Point""}";39.495324747306846, -0.3726750782013321
2788;110;Lope de Vega, pl.;9;Martina Castell Ossorio;Nicolás Bellver Bayarri;Adrián Ballesteros Rubio;D´on eres?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_110_bi.jpg;;"{""coordinates"": [-0.37680732914054194, 39.473880493778715], ""type"": ""Point""}";39.473880493778715, -0.37680732914054194
2792;250;Cadis-Dénia;4;Shaila Castells Solaz;Álvaro Gaspar Pérez;Sevior Y Priol Arts;Citius, Altius, Fortius;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_250_bi.jpg;;"{""coordinates"": [-0.37477483062281997, 39.46318872197895], ""type"": ""Point""}";39.46318872197895, -0.37477483062281997
2794;310;Doctor Gil i Morte-Doctor Vila Barberà;12;Adriana Fayos Calabuig;NO HAY;PLANTADEU 2018, S.L.;VIATGE AL JAPÓ;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_310_bi.jpg;;"{""coordinates"": [-0.38038262440824067, 39.46252130507422], ""type"": ""Point""}";39.46252130507422, -0.38038262440824067
2796;187;Regne de València-Duc de Calàbria;2;Olivia Mínguez Martínez;NO HAY;MARIO PÉREZ SÁNCHEZ;UNA LLUITA... ¡SALUDABLE!;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_187_bi.jpg;;"{""coordinates"": [-0.3669617932356363, 39.46379739845771], ""type"": ""Point""}";39.46379739845771, -0.3669617932356363
2797;156;General Pando-Serrano Flores;6;Julia Medina Gil;Rodrigo Ibanco Barrachina;Xaume Torrent Arenas;Shhhhh!!!!;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_156_bi.jpg;;"{""coordinates"": [-0.359739338531051, 39.473062250493264], ""type"": ""Point""}";39.473062250493264, -0.359739338531051
2799;261;Norman Bethune - Guillem Despuig;12;Noa Soriano Canales;Hugo López Aparicio;CLARA RUIZ BARBERÁ;50 ANYS MANTENINT LA FLAMA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_261_bi.jpg;;"{""coordinates"": [-0.3974326482145461, 39.464886221222734], ""type"": ""Point""}";39.464886221222734, -0.3974326482145461
2802;114;Carrera de Sant Lluís-Doctor Waksman;10;Valeria Bonilla Manuel;Adrià Alcañiz Martínez;RAMON LEMOS;ANEM AL MERCAT;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_114_bi.jpg;;"{""coordinates"": [-0.3717857470705661, 39.45608499502135], ""type"": ""Point""}";39.45608499502135, -0.3717857470705661
2804;242;Ribera-Convent de Santa Clara;1;Valeria Muñoz Renau;Ferran Soriano Vañó;Javier Álvarez-Sala Salinas;I colorin, colorat, este conte... NO s'ha acabat!!!;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_242_bi.jpg;;"{""coordinates"": [-0.377274453585712, 39.467798911704016], ""type"": ""Point""}";39.467798911704016, -0.377274453585712
2806;394;;;;;;;;;;;"{""coordinates"": [-0.35677957789308395, 39.481074631990985], ""type"": ""Point""}";39.481074631990985, -0.35677957789308395
2809;194;Visitació-Oriola;7;Arantxa Ortiz Lluch;Alejandro Ortiz Lluch;Toni Ramos Asensi;Salacadula chalchicomula;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_194_bi.jpg;;"{""coordinates"": [-0.3769959750439743, 39.48441278464118], ""type"": ""Point""}";39.48441278464118, -0.3769959750439743
2811;384;Santa Genoveva Torres-Arquitecte Tolsà;1;Rocío Sanz López;Alejandro Pérez Haba;MARIO PÉREZ SÁNCHEZ;Llenguatge Universal;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_384_bi.jpg;;"{""coordinates"": [-0.36488562353212334, 39.49174261384135], ""type"": ""Point""}";39.49174261384135, -0.36488562353212334
2828;25;Camí d'Alba-Castell de Cullera;20;Daniela Albero Javaloyas;Kilian Villanueva Sánchez;FRANCISO JOSE CUADROS MARTINEZ;ELS 'BABY MONSTERS';;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_025_bi.jpg;;"{""coordinates"": [-0.39164749801856136, 39.43526001186396], ""type"": ""Point""}";39.43526001186396, -0.39164749801856136
2830;348;Cadis-Mossén Femenia-Puerto Rico;19;Marta López Ramos;Daniel Herráiz Soriano;LA COMISION;VEO, VEO;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_348_bi.jpg;;"{""coordinates"": [-0.3736722089175804, 39.4621953424873], ""type"": ""Point""}";39.4621953424873, -0.3736722089175804
2831;280;Doctor Berenguer Ferrer, pl.;21;Nicole Maestre Quevedo;Hugo Vallecillo Oro;Joserra Lisarde;S.O.S.TENIBLE;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_280_bi.jpg;;"{""coordinates"": [-0.4086705716245709, 39.467001401885426], ""type"": ""Point""}";39.467001401885426, -0.4086705716245709
2834;80;Ripalda-Beneficència-Sant Ramon;13;Carmen Ruiz Rivera;Alexandre Alfonso Flores;Julia Navarro Coll;Flames i Niflames;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_080_bi.jpg;;"{""coordinates"": [-0.3822870524949324, 39.4785678723422], ""type"": ""Point""}";39.4785678723422, -0.3822870524949324
2835;179;Ferros-Joan Baptista Perales;5;Diana Hernández Mejía;Iván Hernández Mejía;Miguel March Azor;Nit i dia;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_179_bi.jpg;;"{""coordinates"": [-0.339257750369518, 39.462562916633296], ""type"": ""Point""}";39.462562916633296, -0.339257750369518
2836;383;L'Horta Sud-La Costera;22;NO HAY;NO HAY;Antonio Sansano Escribano;'Esencia Fallera';;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_383_bi.jpg;;"{""coordinates"": [-0.39930114341005984, 39.49327975142981], ""type"": ""Point""}";39.49327975142981, -0.39930114341005984
2838;289;Isabel la Catòlica-Ciril Amorós;3;Claudia Tatay Fresneda;NO HAY;Zvonimir Ostoic;FLORE•SER;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_289_bi.jpg;;"{""coordinates"": [-0.3697465708966992, 39.467993086515634], ""type"": ""Point""}";39.467993086515634, -0.3697465708966992
2840;6;Llanterna-Na Rovella-Av.de l’Oest;4;Indara Pérez Blanquer;NO HAY;Carlos Herrero Muria;Cara a Cara;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_006_bi.jpg;;"{""coordinates"": [-0.37905774534483944, 39.47225414198595], ""type"": ""Point""}";39.47225414198595, -0.37905774534483944
2841;329;Grup de Peixcadors  del Perellonet;20;Giselle Alcantarilla Belenguer;Raúl Zorrilla Puertas;David Martinez Ferrer;Boniques i Valentes;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_329_bi.jpg;;"{""coordinates"": [-0.2970728642608899, 39.3080455371733], ""type"": ""Point""}";39.3080455371733, -0.2970728642608899
2844;224;Sequiota, pl.-El Palmar;15;Neus Bru Meliá;Sergi Lorente Quilis;Isaac Argudo Molero;Dies d'estiu;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_224_bi.jpg;;"{""coordinates"": [-0.31784661929962216, 39.309943460606505], ""type"": ""Point""}";39.309943460606505, -0.31784661929962216
2845;131;Iecla-Cardenal Benlloch;13;Paula Bustos Artigot;Isaac Guirado Murgui;Andreu Sánchez Hernández;Mejores amigos;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_131_bi.jpg;;"{""coordinates"": [-0.3538913065810867, 39.47158522743489], ""type"": ""Point""}";39.47158522743489, -0.3538913065810867
2851;24;Cadis-Literat Azorín;11;NO HAY;NO HAY;ANTONIO NICOLAS RAMOS ASENSI;¿JUGUEM?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_024_bi.jpg;;"{""coordinates"": [-0.37255829748918207, 39.46110647713748], ""type"": ""Point""}";39.46110647713748, -0.37255829748918207
2852;182;Àngel Guimerà-Pintor Vila Prades;FC;NO HAY;NO HAY;La comissió de la falla;Emboscadetes;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_182_bi.jpg;;"{""coordinates"": [-0.3896173054950036, 39.470080434483435], ""type"": ""Point""}";39.470080434483435, -0.3896173054950036
2854;124;Lluís Oliag-Mariola-Granada;20;NO HAY;NO HAY;XAVIER HERRERO MARTINEZ;UN DIA A LA MALVARROSA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_124_bi.jpg;;"{""coordinates"": [-0.3644497689234358, 39.460369892396685], ""type"": ""Point""}";39.460369892396685, -0.3644497689234358
2857;286;Pere María Orts i Bosch, pl.;21;Aitana Cano Agustí;Álvaro Pérez Bueno;JESÚS LIÑANA 'HAWA';A LA RECERCA D'ARTISTES;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_286_bi.jpg;;"{""coordinates"": [-0.4136164922842835, 39.47036570621156], ""type"": ""Point""}";39.47036570621156, -0.4136164922842835
2865;375;Albereda-França;4;Sofía Galcerán Martín;NO HAY;ALEX LÓPEZ SANCHEZ;LES PARAULES MÉS BONIQUES DEL MÓN;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_375_bi.jpg;;"{""coordinates"": [-0.3551647747242044, 39.46201912982769], ""type"": ""Point""}";39.46201912982769, -0.3551647747242044
2866;290;Cases de Bàrcena;20;Martina del Teso Rodrigo;NO HAY;MIGUEL BANACLOCHA MARIN;LA NOVA ERA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_290_bi.jpg;;"{""coordinates"": [-0.3583379665477807, 39.52131521640466], ""type"": ""Point""}";39.52131521640466, -0.3583379665477807
2871;102;Fèlix Pizcueta-Ciril Amorós;15;Ana David Párraga;Juan Ricardo Puchades Martínez;Carlos Herranz;Chi-no saps qui es.... parla en xines;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_102_bi.jpg;;"{""coordinates"": [-0.3729805057363663, 39.46675174419126], ""type"": ""Point""}";39.46675174419126, -0.3729805057363663
2878;85;Cuba-Dénia;12;Adriana Gómez Micó;Marc Novella García;XAVI UREÑA;Asere, ¿qué volá?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_085_bi.jpg;;"{""coordinates"": [-0.37733733543924125, 39.462084375494946], ""type"": ""Point""}";39.462084375494946, -0.37733733543924125
2879;173;Jesús-Sant Francesc de Borja;2;Ana Acosta Zaragozá;Jaime Gallardo Vidal;JOSE FUSTER GARCÍA;UKUDLA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_173_bi.jpg;;"{""coordinates"": [-0.3853969340148426, 39.465282137637885], ""type"": ""Point""}";39.465282137637885, -0.3853969340148426
2887;246;Josep Soto Micó-Síndic Mocholí;18;Carmen Cano Rodrigo;Borja Rodrigo Gimeno;La comisión;El pas del temps;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_246_bi.jpg;;"{""coordinates"": [-0.3882967816244851, 39.44028299634977], ""type"": ""Point""}";39.44028299634977, -0.3882967816244851
2890;183;Illes Canàries-Dama d'Elx;8;Gema Montoro Castillo;NO HAY;Adrián Ballesteros Rubio;I tu a què jugues?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_183_bi.jpg;;"{""coordinates"": [-0.34279288575376166, 39.462170313035955], ""type"": ""Point""}";39.462170313035955, -0.34279288575376166
2894;392;Blas Gámez - Ángel Villena;3;Elba Millán Rubio;Pablo Ramírez Fito;FRANCISCO TARAZONA GARCÍA;ELBA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_392_bi.jpg;;"{""coordinates"": [-0.36177703468528055, 39.45108236349044], ""type"": ""Point""}";39.45108236349044, -0.36177703468528055
2902;161;Regne de València-Ciscar;5;Carla Martínez Martín;NO HAY;CARLOS HERRERO;EUREKA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_161_bi.jpg;;"{""coordinates"": [-0.3634853131321053, 39.46326338365124], ""type"": ""Point""}";39.46326338365124, -0.3634853131321053
2904;108;Pintor Stolz-Burgos;13;Daniela Iniesta Morilla;Víctor López Gómez;Amparo valero costa;Compta amb mi;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_108_bi.jpg;;"{""coordinates"": [-0.39916509241047676, 39.47019024385929], ""type"": ""Point""}";39.47019024385929, -0.39916509241047676
2905;303;Alemanya-El Batxiller;5;Lourdes Serrano Bono;José Sancho del Campo;Alejandro Cano Hernández;Cada día;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_303_bi.jpg;;"{""coordinates"": [-0.3616258009791674, 39.481667192914465], ""type"": ""Point""}";39.481667192914465, -0.3616258009791674
2906;163;La Pobla del Duc-Benipeixcar;12;Vega Cánovas Sáez;Miguel Hernández Girard;Ramón Lemos Sierra;LA FABRICA DELS SOMNIS !!;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_163_bi.jpg;;"{""coordinates"": [-0.37588811102209074, 39.48710002868992], ""type"": ""Point""}";39.48710002868992, -0.37588811102209074
2909;95;Camí de Barcelona-Travessera i Camí de Montcada;20;Mireia Raimundo Alonso;Jaume Gil Romero;ARTDEFOC CREACIONES ARTISTICAS SL (VICENTE GARCIA PEREZ);ELS PARES ESTAN DE CUMPLE;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_095_bi.jpg;;"{""coordinates"": [-0.3770229243042485, 39.48825365862989], ""type"": ""Point""}";39.48825365862989, -0.3770229243042485
2910;380;Pintor Maella-França-Menorca;5;Inés Bordas Bordetas;Guillermo Vicente Bordas Bordetas;DAVID MOU;CADA VIATGE ES UNA OPORTUNITAT;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_380_bi.jpg;;"{""coordinates"": [-0.34745038568821585, 39.45791607500915], ""type"": ""Point""}";39.45791607500915, -0.34745038568821585
2912;10;Avinguda de l'Oest;4;Martina Cuesta Pla;Nicolás Gil Bada;ALEJANDRO RUBIO Y MANOLO RUBIO;STARGATE UNA PORTA AL TEMPS;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_010_bi.jpg;;"{""coordinates"": [-0.37944837565953904, 39.47121076507046], ""type"": ""Point""}";39.47121076507046, -0.37944837565953904
2916;17;Quart-Palomar;9;Sofía Olmos Company;Benjamín Joan Buedo Dahm;Carlos Herrero Muria;CONECTAR;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_017_bi.jpg;;"{""coordinates"": [-0.38359859230445864, 39.475842851362984], ""type"": ""Point""}";39.475842851362984, -0.38359859230445864
2921;158;Albacete-Marvà;7;Alicia Pallarés Hernández;NO HAY;ANDREU SÁNCHEZ HERNÁNDEZ;ELS XIQUETS HAN PRES EL PODER;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_158_bi.jpg;;"{""coordinates"": [-0.3838141887808528, 39.46356160068807], ""type"": ""Point""}";39.46356160068807, -0.3838141887808528
2924;72;Joaquim Navarro-Carrícola;18;Carla Cotanda Sáez;NO HAY;IGNACIO FERRANDO TAMARIT;EXTRA ESCOLARS;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_072_bi.jpg;;"{""coordinates"": [-0.38681456189405794, 39.45286661759973], ""type"": ""Point""}";39.45286661759973, -0.38681456189405794
2925;96;Quart Extramurs-Velázquez;6;Lola Ull Carrascosa;Alejandro Domingo Igual;Carlos Herrero Muria;I per que no?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_096_bi.jpg;;"{""coordinates"": [-0.4017086291154519, 39.47281261480013], ""type"": ""Point""}";39.47281261480013, -0.4017086291154519
2926;84;Gravador Esteve-Ciril Amorós;2;Julia García Basso;Freddy Cortina Gonzálvez;David Mourelle Nicolas;Que dius?¡¡;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_084_bi.jpg;;"{""coordinates"": [-0.3663778886215005, 39.4692552109415], ""type"": ""Point""}";39.4692552109415, -0.3663778886215005
2927;282;Mare de Déu de la Cabeça-J.M. Mortes Lerma;9;Marta Pérez Fernández;Hugo Serrano Valero;Fernando Martínez;Monstres baix del llit;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_282_bi.jpg;;"{""coordinates"": [-0.3993819924174702, 39.46202195731189], ""type"": ""Point""}";39.46202195731189, -0.3993819924174702
2933;311;Castielfabib-Marqués de Sant Joan;16;Vega Romero Mas;Ricardo Muñoz Durán;LATORRE & SANZ;Error 404;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_311_bi.jpg;;"{""coordinates"": [-0.3954204219309199, 39.47866494460756], ""type"": ""Point""}";39.47866494460756, -0.3954204219309199
2936;176;Campanar-Hipòlit Rovira;8;Alma Hernández Alarcón;Sergi Furió Culebras;Francisco Tarazona Garcia;I tu de qui eres?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_176_bi.jpg;;"{""coordinates"": [-0.38964425410616876, 39.4869641467044], ""type"": ""Point""}";39.4869641467044, -0.38964425410616876
2939;393;;;;;;;;;;;"{""coordinates"": [-0.40568886510148006, 39.48057041485169], ""type"": ""Point""}";39.48057041485169, -0.40568886510148006
2941;186;Bisbe Jaume Pérez-Lluís Oliag;8;Martina Vicente Aliño;NO HAY;Ángel Navarro Requena;4UATRO;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_186_bi.jpg;;"{""coordinates"": [-0.36672823120545756, 39.459532101721884], ""type"": ""Point""}";39.459532101721884, -0.36672823120545756
